Format,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
Test,2013,6,333,530,5,66.6,62.8,177,0,2,38,5,68.7
Test,2014,10,237,532,9,26.3,44.5,72,1,0,26,2,76.9
Test,2015,13,326,670,13,25.1,48.7,79,3,0,25,10,75.1
Test,2016,7,288,449,5,57.6,64.1,82,3,0,26,8,66.4
Test,2017,3,217,311,1,217,69.8,102,2,1,20,3,60.1
Test,2018,8,184,389,7,26.3,47.3,63,1,0,16,4,76.1
Test,2019,6,556,732,6,92.7,76,212,0,3,65,20,68.4
Test,2021,21,906,"1,880",19,47.7,48.2,161,4,2,108,11,76.8
Test,2022,3,90,132,3,30,68.2,46,0,0,11,1,68.9
Test,2023,13,545,931,13,41.9,58.5,120,2,2,60,13,70.8
Test,2024,15,498,739,14,35.6,67.4,131,1,2,61,10,69.1
ODI,2007,3,61,74,3,20.3,82.4,52,1,0,3,1,47.3
ODI,2008,28,532,733,21,25.3,72.6,70,3,0,44,3,53.9
ODI,2009,7,102,155,4,25.5,65.8,43,0,0,5,1,52.3
ODI,2010,14,504,586,13,38.8,86,114,1,2,34,7,43.9
ODI,2011,16,611,739,11,55.5,82.7,95,6,0,40,9,45.6
ODI,2012,13,168,251,13,12.9,66.9,68,1,0,12,2,56.6
ODI,2013,27,"1,196","1,480",23,52,80.8,209,8,2,119,30,57.8
ODI,2014,12,578,613,11,52.5,94.3,264,3,1,58,22,54.3
ODI,2015,17,815,854,16,50.9,95.4,150,4,3,76,23,51.1
ODI,2016,10,564,592,9,62.7,95.3,171,2,2,46,19,51.2
ODI,2017,21,"1,293","1,300",18,71.8,99.5,208,5,6,116,46,49.5
ODI,2018,19,"1,030","1,029",14,73.6,100.1,162,3,5,104,39,52.4
ODI,2019,27,"1,490","1,657",26,57.3,89.9,159,6,7,146,36,53
ODI,2020,3,171,187,3,57,91.4,119,0,1,16,6,54.5
ODI,2021,3,90,104,3,30,86.5,37,0,0,15,0,56.7
ODI,2022,8,249,218,6,41.5,114.2,76,3,0,31,12,61.5
ODI,2023,26,"1,255","1,072",24,52.3,117.1,131,9,2,131,67,54.7
ODI,2024,3,157,111,3,52.3,141.4,64,2,0,18,8,45.9
T20,2007,3,88,61,0,0,144.3,50,1,0,9,4,39.3
T20,2008,1,8,8,1,8,100,8,0,0,1,0,37.5
T20,2009,8,145,129,7,20.7,112.4,52,1,0,12,4,41.1
T20,2010,3,94,69,2,47,136.2,79,1,0,6,6,43.5
T20,2011,3,80,60,3,26.7,133.3,53,1,0,5,4,30
T20,2012,9,116,89,5,23.2,130.3,55,1,0,9,2,24.7
T20,2013,1,8,8,1,8,100,8,0,0,0,1,62.5
T20,2014,6,200,162,5,40,123.5,62,2,0,19,6,37
T20,2015,2,128,90,2,64,142.2,106,0,1,14,5,37.8
T20,2016,18,497,378,17,29.2,131.5,83,4,0,45,19,37.8
T20,2017,9,283,165,9,31.4,171.5,118,1,1,30,16,36.4
T20,2018,18,590,400,16,36.9,147.5,111,3,2,52,31,35
T20,2019,14,396,286,14,28.3,138.5,85,4,0,33,22,40.2
T20,2020,4,140,93,3,46.7,150.5,65,2,0,11,7,33.3
T20,2021,11,424,281,11,38.5,150.9,74,5,0,39,23,37.7
T20,2022,29,656,488,28,23.4,134.4,72,3,0,64,32,43.2
T20,2024,11,378,237,9,42,159.5,121,3,1,35,23,38.8